stock_code,name,close,price_change_rate,rps,ma5,ma10,ma20,ma_strength
920002,万达轴承,237.08,175.8,100,243.186,,,
301396,宏景科技,77.7,145.89,100,76.98,76.441,65.546,84.94
300153,科泰电源,45.0,140.38,100,44.278,39.318,34.3505,111.51
873833,美心翼申,31.0,133.96,100,21.94,,,
300611,美力科技,28.96,131.68,100,27.088,23.65,19.2195,93.81
002105,信隆健康,12.43,128.49,100,10.366,8.402,6.888,79.63
831856,浩淼科技,26.1,113.41,100,28.074,,,
605208,永茂泰,16.6,105.45,100,16.028,14.701,12.0535,75.96
688788,科思科技,72.99,105.09,100,69.06,,,
605100,华丰股份,28.63,100.21,100,29.238,27.273,22.5385,74.82
688393,安必平,40.39,93.25,100,40.7,,,
601177,杭齿前进,19.18,88.04,100,20.424,20.696,18.9995,67.14
300344,立方数科,14.28,87.16,100,12.864,11.804,10.988,66.41
600589,大位科技,7.83,78.36,100,8.14,7.436,6.4225,59.87
300738,奥飞数据,27.6,78.29,100,25.906,24.528,22.694,54.9
000880,潍柴重机,38.2,75.55,100,35.746,32.063,29.6235,64.73
002196,方正电机,10.83,75.53,99,9.978,8.568,7.5865,56.49
301261,恒工精密,104.51,68.46,99,104.4,89.267,77.8965,82.38
600539,狮头股份,14.26,68.36,99,13.898,11.9,10.0295,68.37
002580,圣阳股份,15.28,66.81,99,15.456,14.836,13.3045,51.14
871553,凯腾精工,14.2,66.67,99,11.532,,,
000710,贝瑞基因,17.27,62.16,99,17.946,16.895,15.03,61.37
002335,科华数据,58.02,59.7,99,55.964,51.748,49.1655,55.52
002369,卓翼科技,12.8,58.02,99,13.034,13.311,12.028,46.63
300248,新开普,19.1,57.2,99,17.594,15.316,13.6345,53.33
603813,原尚股份,15.98,56.97,99,15.078,14.609,13.474,22.95
300657,弘信电子,41.9,55.59,99,43.078,41.363,39.818,50.76
000409,云鼎科技,15.5,54.69,99,15.136,14.103,12.114,48.05
300695,兆丰股份,81.0,54.14,99,64.262,59.83,57.907,27.75
600592,龙溪股份,17.6,52.51,99,18.636,18.021,15.6605,53.27
688433,华曙高科,44.95,52.42,99,47.612,,,
002574,明牌珠宝,7.16,51.05,99,5.972,5.42,5.094,23.79
300007,汉威科技,43.73,50.27,99,45.61,45.2,43.5475,46.74
830839,万通液压,29.66,50.18,98,29.344,,,
300986,志特新材,21.15,50.11,98,19.996,17.992,16.945,42.46
002896,中大力德,98.6,48.27,98,99.678,98.187,95.1845,60.65
873706,铁拓机械,20.91,48.09,98,20.774,,,
603881,数据港,41.7,47.98,98,39.992,38.407,38.0865,52.62
301196,唯科科技,53.4,47.88,98,54.802,54.039,50.4305,38.23
