stock_code,name,close,ma5,ma10,ma20,ma30,ma60,ma_strength
300153,科泰电源,45.0,44.278,39.318,34.3505,28.5653,20.9343,111.51
000880,潍柴重机,38.2,35.746,32.063,29.6235,26.5577,21.7003,64.73
300718,长盛轴承,95.06,97.838,100.821,99.5835,87.8753,59.8835,63.38
002896,中大力德,98.6,99.678,98.187,95.1845,84.3127,62.0465,60.65
605488,福莱新材,52.67,55.282,53.995,53.031,47.6173,34.7978,58.87
603583,捷昌驱动,47.29,48.54,46.786,43.726,39.3437,32.5813,48.98
301220,亚香股份,75.2,78.844,80.569,78.272,71.2297,53.6482,46.96
003021,兆威机电,147.66,153.344,153.055,144.408,133.278,107.662,42.43
003010,若羽臣,41.0,42.35,39.112,34.7445,33.1137,30.2073,40.2
301413,安培龙,107.75,108.526,104.495,100.752,95.102,78.9933,37.39
603121,华培动力,18.99,18.87,18.644,17.17,16.048,13.8787,35.96
002031,巨轮智能,9.9,10.168,10.395,9.953,9.205,7.5842,34.07
002853,皮阿诺,16.3,16.004,15.544,13.9805,13.112,12.093,32.34
301550,斯菱股份,127.01,128.146,126.735,125.234,116.863,96.9177,32.22
002042,华孚时尚,6.64,6.752,6.345,5.9035,5.6497,5.1902,30.09
002364,中恒电气,17.08,17.95,17.726,17.569,16.4663,13.9002,29.13
603950,长源东谷,26.13,26.512,25.853,25.45,23.616,20.5875,28.78
600397,安源煤业,5.81,5.62,5.452,5.3345,5.0693,4.3987,27.77
002965,祥鑫科技,56.18,55.44,55.117,54.717,52.6057,43.476,27.52
603226,菲林格尔,7.2,6.984,6.916,6.484,6.188,5.5557,25.71
300870,欧陆通,157.69,154.35,146.548,146.031,137.716,123.095,25.39
002779,中坚科技,116.65,116.768,120.424,124.857,116.787,95.036,22.87
603278,大业股份,11.61,12.128,12.517,12.154,11.3873,9.8728,22.84
002139,拓邦股份,17.17,17.406,17.178,16.874,16.1957,14.8647,17.1
605389,长龄液压,31.35,31.782,30.939,29.9505,28.5503,27.254,16.61
002879,长缆科技,19.43,19.09,18.871,18.291,17.5853,16.4967,15.72
002616,长青集团,5.86,5.916,5.904,5.702,5.4103,5.143,15.03
002357,富临运业,8.69,8.882,9.154,8.8265,8.3547,7.8498,13.15
603637,镇海股份,9.79,9.958,10.041,9.7955,9.4253,8.9208,11.63
000679,大连友谊,7.32,7.068,7.041,7.1615,6.896,6.5865,7.31
001226,拓山重工,30.69,30.804,30.742,30.7215,30.353,28.9302,6.48
002696,百洋股份,5.64,5.426,5.353,5.286,5.229,5.1105,6.17
601229,上海银行,9.38,9.408,9.413,9.349,9.2927,9.0857,3.55
301076,新瀚新材,29.85,30.206,31.042,33.209,33.4437,31.8127,-5.05
688226,威腾电气,39.65,38.074,,,,,
688322,奥比中光-UW,62.9,65.848,,,,,
688696,极米科技,134.36,133.228,,,,,
