stock_code,name,price_change_rate,rps
873833,美心翼申,96.7,100
831689,克莱特,74.6,100
300810,中科海讯,49.28,100
300695,兆丰股份,46.24,100
871553,凯腾精工,38.81,100
836422,润普食品,36.77,100
873570,坤博精工,35.59,100
836547,无锡晶海,34.66,100
603677,奇精机械,33.12,100
002905,金逸影视,33.11,100
002574,明牌珠宝,33.09,100
002105,信隆健康,33.08,100
831010,凯添燃气,32.7,100
300233,金城医药,31.94,100
300065,海兰信,31.01,100
603629,利通电子,30.2,100
835892,中科美菱,30.03,100
300961,深水海纳,29.51,100
301032,新柴股份,28.85,100
002093,国脉科技,28.52,100
832786,骑士乳业,28.23,100
832171,志晟信息,27.53,100
300248,新开普,25.33,100
301063,海锅股份,24.28,100
833030,立方控股,24.24,100
301191,菲菱科思,23.81,100
002342,巨力索具,23.78,100
301365,矩阵股份,23.57,99
002086,东方海洋,22.92,99
430564,天润科技,22.79,99
301177,迪阿股份,22.52,99
002278,神开股份,22.34,99
002724,海洋王,22.13,99
300402,宝色股份,22.13,99
688022,瀚川智能,21.05,99
300507,苏奥传感,20.62,99
301020,密封科技,20.38,99
301126,达嘉维康,20.24,99
300047,天源迪科,19.86,99
600456,宝钛股份,19.35,99
832000,安徽凤凰,18.85,99
300611,美力科技,18.79,99
300086,康芝药业,18.78,99
831726,朱老六,18.28,99
300467,迅游科技,18.07,99
300380,安硕信息,17.96,99
600403,大有能源,17.83,99
300314,戴维医疗,17.63,99
300106,西部牧业,17.39,99
300091,金通灵,17.39,99
836826,盖世食品,17.35,99
300476,胜宏科技,17.33,99
688273,麦澜德,17.08,99
300295,三六五网,16.68,99
300042,朗科科技,16.66,99
002923,润都股份,16.53,99
300932,三友联众,16.34,99
300561,汇金科技,16.33,99
300898,熊猫乳品,16.28,99
688646,逸飞激光,16.26,99
000040,*ST旭蓝,16.22,99
300085,银之杰,16.16,99
603788,宁波高发,16.08,99
002052,*ST同洲,15.81,99
603377,ST东时,15.79,99
300966,共同药业,15.78,99
300565,科信技术,15.57,99
300344,立方数科,15.53,99
601881,中国银河,15.22,99
873339,恒太照明,15.04,99
300125,ST聆达,14.97,99
301225,恒勃股份,14.87,99
600738,丽尚国潮,14.84,99
002361,神剑股份,14.78,99
000880,潍柴重机,14.68,99
836871,派特尔,14.67,99
871396,常辅股份,14.64,99
300892,品渥食品,14.63,99
000972,中基健康,14.56,99
870299,灿能电力,14.3,99
837592,华信永道,14.18,99
600982,宁波能源,14.12,98
430300,辰光医疗,14.11,98
603102,百合股份,14.1,98
000503,国新健康,14.02,98
600764,中国海防,13.99,98
600107,美尔雅,13.98,98
836419,万德股份,13.95,98
603063,禾望电气,13.92,98
832419,路斯股份,13.82,98
601059,信达证券,13.81,98
001328,登康口腔,13.77,98
002345,潮宏基,13.65,98
300936,中英科技,13.6,98
603828,ST柯利达,13.58,98
300329,海伦钢琴,13.52,98
002851,麦格米特,13.45,98
000813,德展健康,13.26,98
872953,国子软件,13.25,98
605286,同力日升,13.2,98
688089,嘉必优,13.19,98
002501,利源股份,13.08,98
430476,海能技术,12.94,98
688288,鸿泉物联,12.91,98
002056,横店东磁,12.88,98
873576,天力复合,12.87,98
000678,襄阳轴承,12.85,98
300084,海默科技,12.82,98
600696,岩石股份,12.82,98
600490,鹏欣资源,12.82,98
605196,华通线缆,12.74,98
603168,莎普爱思,12.7,98
001256,炜冈科技,12.56,98
301031,中熔电气,12.48,98
837174,宏裕包材,12.48,98
300986,志特新材,12.38,98
600698,湖南天雁,12.36,98
836433,大唐药业,12.29,98
871634,新威凌,12.22,98
603859,能科科技,12.22,98
300533,冰川网络,12.15,98
688622,禾信仪器,12.13,98
838262,太湖雪,12.11,98
301068,大地海洋,12.1,98
870656,海昇药业,12.09,98
300997,欢乐家,12.01,98
603883,老百姓,11.99,98
600301,华锡有色,11.92,98
600399,抚顺特钢,11.91,98
601336,新华保险,11.9,98
603618,杭电股份,11.9,98
300888,稳健医疗,11.79,98
002196,方正电机,11.76,98
002586,*ST围海,11.76,98
000791,甘肃能源,11.72,98
870204,沪江材料,11.72,97
301009,可靠股份,11.69,97
600234,*ST科新,11.65,97
001209,洪兴股份,11.63,97
002888,惠威科技,11.61,97
831152,昆工科技,11.59,97
000997,新大陆,11.56,97
830974,凯大催化,11.56,97
600449,宁夏建材,11.53,97
834062,科润智控,11.51,97
600610,中毅达,11.5,97
603214,爱婴室,11.47,97
300753,爱朋医疗,11.43,97
002162,悦心健康,11.4,97
000915,华特达因,11.35,97
300731,科创新源,11.31,97
836504,博迅生物,11.3,97
838227,美登科技,11.29,97
605388,均瑶健康,11.29,97
832471,美邦科技,11.21,97
688208,道通科技,11.2,97
300860,锋尚文化,11.17,97
002638,勤上股份,11.16,97
603716,塞力医疗,11.09,97
002571,德力股份,11.07,97
839273,一致魔芋,11.06,97
600289,*ST信通,10.97,97
301172,君逸数码,10.96,97
301008,宏昌科技,10.91,97
600729,重庆百货,10.88,97
002401,中远海科,10.82,97
603189,网达软件,10.77,97
300499,高澜股份,10.73,97
603258,电魂网络,10.71,97
603900,莱绅通灵,10.7,97
301038,深水规院,10.69,97
605011,杭州热电,10.68,97
301327,华宝新能,10.63,97
600478,科力远,10.55,97
605009,豪悦护理,10.54,97
831445,龙竹科技,10.54,97
600979,广安爱众,10.53,97
300895,铜牛信息,10.51,97
688788,科思科技,10.49,97
